products:ID,value,:LABEL
2078030,“幸福99”卓越增盈小企业专属第200080期预约31天型,理财产品
2077766,“药都聚财”系列2020年第81期非保本型人民币公募理财产品,理财产品
2076127,私银粤盈,理财产品
2075747,上海银行惠享系列理财产品WPHX20Y03045期,理财产品
2075545,中银平稳理财计划-智荟系列208747期,理财产品
2075481,富民鹿泽第00166期净值型人民币理财产品,理财产品
2073381,珠海农商银行金盈丰盈系列第978期,理财产品
2073380,珠海农商银行金盈丰盈系列第977期,理财产品
2072249,吉林银行吉利财富成长系列2020年第88期,理财产品
2071995,萧山农商银行“萧银理财增盈”2020年第275期人民币理财产品,理财产品
2071257,明珠理财月月赢系列2020年第289期,理财产品
2069416,农银理财“农银安心·两年开放”第6期人民币理财产品,理财产品
2066721,珠海农商银行金盈丰盈系列第967期,理财产品
2052338,临商银行惠盈系列理财产品1年期第2005号,理财产品
2048009,中国建设银行上海市分行“乾元―智盈”2020年第105期（高净客户）人民币理财产品,理财产品
2046220,工银理财共赢3号（京）2020年50期A款,理财产品
2009172,兴业银行“天天万利宝”2020年第21期非保本浮动收益封闭型人民币理财产品N款,理财产品
2084516,青岛农商银行创富优享35号,理财产品
2084196,明珠理财月月赢系列2020年单一定制第29期,理财产品
2084052,佛山农商银行2020年金狮理财锦华系列第87期理财计划,理财产品
2083910,广州银行红棉理财·智选系列理财产品(私享款）,理财产品
2083840,渤海银行FG20023号封闭式固定收益类净值型理财产品,理财产品
2083839,渤海银行FG20022号封闭式固定收益类净值型理财产品,理财产品
2083835,2020封闭式私募净值型161号,理财产品
2083379,2020封闭式私募净值型13066号（迎行庆助发展专属理财）,理财产品
2083310,德州银行“德财富-金管嘉系列”2020年第19期人民币理财产品,理财产品
2083272,中国建设银行山东省分行“乾元通财”2020年第619期理财产品,理财产品
2083206,“锦鲤鱼2020第14期”净值型人民币理财产品,理财产品
2079493,东莞银行玉兰理财价值成长年丰8号开放式净值型理财产品,理财产品
2079408,丰收丰润2020年第45期,理财产品
2079407,丰收丰润2020年第44期,理财产品
2079406,丰收丰润2020年第43期,理财产品
2079274,中银平稳理财计划-智荟系列202224期,理财产品
2079263,中银平稳理财计划-智荟系列202213期,理财产品
2079221,中银平稳理财计划-智荟系列202171期,理财产品
2079216,中银平稳理财计划-智荟系列202166期,理财产品
2078965,“幸福99”卓越增盈第200167期预约90天型,理财产品
2078963,“幸福99”卓越增盈第200165期预约35天型,理财产品
2078866,海融财富·尊享系列人民币个人理财计划2020年176期,理财产品
2078859,海融财富·尊享系列人民币个人理财计划2020年171期,理财产品
2078809,海融财富·创赢系列人民币个人理财计划2020年499期,理财产品
2078761,海融财富·创赢系列人民币个人理财计划2020年465期,理财产品
