:START_ID,:END_ID,:TYPE
2080970,n11p0,登记编码
n11p0,2080970,产品
2080970,n0p3,期限类型
n0p3,2080970,产品
2080970,n0p11,业绩比较基准
n0p11,2080970,产品
2080970,n10p5,发行机构
n10p5,2080970,产品
2080970,n10p6,发行机构代码
n10p6,2080970,产品
2080970,n0p7,募集方式
n0p7,2080970,产品
2080970,n0p8,运作模式
n0p8,2080970,产品
2080970,n0p9,投资性质
n0p9,2080970,产品
2080970,n0p10,募集币种
n0p10,2080970,产品
2080970,n2p11,风险等级编号
n2p11,2080970,产品
2080970,n2p12,风险等级
n2p12,2080970,产品
2080970,n11p13,募集起始日期
n11p13,2080970,产品
2080970,n11p13,募集结束日期
n11p13,2080970,产品
2080970,n11p15,产品起始日期
n11p15,2080970,产品
2080970,n7p16,产品终止日期
n7p16,2080970,产品
2080970,n0p17,产品状态
n0p17,2080970,产品
2080970,n11p18,实际天数（天）
n11p18,2080970,产品
2080970,n2p19,收益类型
n2p19,2080970,产品
2080970,n7p20,产品销售区域
n7p20,2080970,产品
2080970,n0p21,机构类别
n0p21,2080970,产品
2080970,n0p22,认购价格
n0p22,2080970,产品
2078128,n12p0,登记编码
n12p0,2078128,产品
2078128,n0p3,期限类型
n0p3,2078128,产品
2078128,n0p4,业绩比较基准
n0p4,2078128,产品
2078128,n12p5,发行机构
n12p5,2078128,产品
2078128,n12p6,发行机构代码
n12p6,2078128,产品
2078128,n0p7,募集方式
n0p7,2078128,产品
2078128,n9p8,运作模式
n9p8,2078128,产品
2078128,n0p9,投资性质
n0p9,2078128,产品
2078128,n0p10,募集币种
n0p10,2078128,产品
2078128,n2p11,风险等级编号
n2p11,2078128,产品
2078128,n2p12,风险等级
n2p12,2078128,产品
2078128,n11p13,募集起始日期
n11p13,2078128,产品
2078128,n11p13,募集结束日期
n11p13,2078128,产品
2078128,n7p13,产品起始日期
n7p13,2078128,产品
2078128,n9p16,产品终止日期
n9p16,2078128,产品
2078128,n0p17,产品状态
n0p17,2078128,产品
2078128,n2p18,实际天数（天）
n2p18,2078128,产品
2078128,n2p19,收益类型
n2p19,2078128,产品
2078128,n12p20,产品销售区域
n12p20,2078128,产品
2078128,n0p21,机构类别
n0p21,2078128,产品
2078128,n0p22,认购价格
n0p22,2078128,产品
2077645,n13p0,登记编码
n13p0,2077645,产品
2077645,n13p3,期限类型
n13p3,2077645,产品
2077645,n0p4,业绩比较基准
n0p4,2077645,产品
2077645,n13p5,发行机构
n13p5,2077645,产品
2077645,n13p6,发行机构代码
n13p6,2077645,产品
2077645,n0p7,募集方式
n0p7,2077645,产品
2077645,n9p8,运作模式
n9p8,2077645,产品
2077645,n0p9,投资性质
n0p9,2077645,产品
2077645,n0p10,募集币种
n0p10,2077645,产品
2077645,n2p11,风险等级编号
n2p11,2077645,产品
2077645,n2p12,风险等级
n2p12,2077645,产品
2077645,n11p13,募集起始日期
n11p13,2077645,产品
2077645,n11p13,募集结束日期
n11p13,2077645,产品
2077645,n7p13,产品起始日期
n7p13,2077645,产品
2077645,n13p16,产品终止日期
n13p16,2077645,产品
2077645,n0p17,产品状态
n0p17,2077645,产品
2077645,n13p18,实际天数（天）
n13p18,2077645,产品
2077645,n2p19,收益类型
n2p19,2077645,产品
2077645,n7p20,产品销售区域
n7p20,2077645,产品
2077645,n0p21,机构类别
n0p21,2077645,产品
2077645,n0p22,认购价格
n0p22,2077645,产品
2080981,n14p0,登记编码
n14p0,2080981,产品
2080981,n0p3,期限类型
n0p3,2080981,产品
2080981,n0p11,业绩比较基准
n0p11,2080981,产品
2080981,n10p5,发行机构
n10p5,2080981,产品
2080981,n10p6,发行机构代码
n10p6,2080981,产品
2080981,n0p7,募集方式
n0p7,2080981,产品
2080981,n0p8,运作模式
n0p8,2080981,产品
2080981,n0p9,投资性质
n0p9,2080981,产品
2080981,n0p10,募集币种
n0p10,2080981,产品
2080981,n0p11,风险等级编号
n0p11,2080981,产品
2080981,n0p12,风险等级
n0p12,2080981,产品
2080981,n14p13,募集起始日期
n14p13,2080981,产品
2080981,n14p13,募集结束日期
n14p13,2080981,产品
2080981,n8p13,产品起始日期
n8p13,2080981,产品
2080981,n7p16,产品终止日期
n7p16,2080981,产品
2080981,n0p17,产品状态
n0p17,2080981,产品
2080981,n2p18,实际天数（天）
n2p18,2080981,产品
2080981,n0p19,收益类型
n0p19,2080981,产品
2080981,n7p20,产品销售区域
n7p20,2080981,产品
2080981,n0p21,机构类别
n0p21,2080981,产品
2080981,n7p22,认购价格
n7p22,2080981,产品
2079816,n15p0,登记编码
n15p0,2079816,产品
2079816,n15p3,期限类型
n15p3,2079816,产品
2079816,n0p11,业绩比较基准
n0p11,2079816,产品
2079816,n15p5,发行机构
n15p5,2079816,产品
2079816,n15p6,发行机构代码
n15p6,2079816,产品
2079816,n0p7,募集方式
n0p7,2079816,产品
2079816,n15p8,运作模式
n15p8,2079816,产品
2079816,n0p9,投资性质
n0p9,2079816,产品
2079816,n0p10,募集币种
n0p10,2079816,产品
2079816,n2p11,风险等级编号
n2p11,2079816,产品
2079816,n2p12,风险等级
n2p12,2079816,产品
2079816,n15p13,募集起始日期
n15p13,2079816,产品
2079816,n15p13,募集结束日期
n15p13,2079816,产品
2079816,n8p13,产品起始日期
n8p13,2079816,产品
2079816,n15p16,产品终止日期
n15p16,2079816,产品
2079816,n0p17,产品状态
n0p17,2079816,产品
2079816,n15p18,实际天数（天）
n15p18,2079816,产品
2079816,n2p19,收益类型
n2p19,2079816,产品
2079816,n15p20,产品销售区域
n15p20,2079816,产品
2079816,n0p21,机构类别
n0p21,2079816,产品
2079816,n7p22,认购价格
n7p22,2079816,产品
2078729,n16p0,登记编码
n16p0,2078729,产品
2078729,n0p3,期限类型
n0p3,2078729,产品
2078729,n0p4,业绩比较基准
n0p4,2078729,产品
2078729,n16p5,发行机构
n16p5,2078729,产品
2078729,n16p6,发行机构代码
n16p6,2078729,产品
2078729,n0p7,募集方式
n0p7,2078729,产品
2078729,n9p8,运作模式
n9p8,2078729,产品
2078729,n0p9,投资性质
n0p9,2078729,产品
2078729,n0p10,募集币种
n0p10,2078729,产品
2078729,n2p11,风险等级编号
n2p11,2078729,产品
2078729,n2p12,风险等级
n2p12,2078729,产品
2078729,n15p13,募集起始日期
n15p13,2078729,产品
2078729,n15p13,募集结束日期
n15p13,2078729,产品
2078729,n8p13,产品起始日期
n8p13,2078729,产品
2078729,n16p16,产品终止日期
n16p16,2078729,产品
2078729,n0p17,产品状态
n0p17,2078729,产品
2078729,n11p18,实际天数（天）
n11p18,2078729,产品
2078729,n2p19,收益类型
n2p19,2078729,产品
2078729,n7p20,产品销售区域
n7p20,2078729,产品
2078729,n0p21,机构类别
n0p21,2078729,产品
2078729,n0p22,认购价格
n0p22,2078729,产品
2079789,n17p0,登记编码
n17p0,2079789,产品
2079789,n9p3,期限类型
n9p3,2079789,产品
2079789,n0p11,业绩比较基准
n0p11,2079789,产品
2079789,n17p5,发行机构
n17p5,2079789,产品
2079789,n17p6,发行机构代码
n17p6,2079789,产品
2079789,n0p7,募集方式
n0p7,2079789,产品
2079789,n9p8,运作模式
n9p8,2079789,产品
2079789,n0p9,投资性质
n0p9,2079789,产品
2079789,n0p10,募集币种
n0p10,2079789,产品
2079789,n2p11,风险等级编号
n2p11,2079789,产品
2079789,n2p12,风险等级
n2p12,2079789,产品
2079789,n17p13,募集起始日期
n17p13,2079789,产品
2079789,n17p13,募集结束日期
n17p13,2079789,产品
2079789,n11p13,产品起始日期
n11p13,2079789,产品
2079789,n17p16,产品终止日期
n17p16,2079789,产品
2079789,n0p17,产品状态
n0p17,2079789,产品
2079789,n17p18,实际天数（天）
n17p18,2079789,产品
2079789,n2p19,收益类型
n2p19,2079789,产品
2079789,n7p20,产品销售区域
n7p20,2079789,产品
2079789,n0p21,机构类别
n0p21,2079789,产品
2079789,n7p22,认购价格
n7p22,2079789,产品
2082338,n18p0,登记编码
n18p0,2082338,产品
2082338,n9p3,期限类型
n9p3,2082338,产品
2082338,n0p11,业绩比较基准
n0p11,2082338,产品
2082338,n18p5,发行机构
n18p5,2082338,产品
2082338,n18p6,发行机构代码
n18p6,2082338,产品
2082338,n0p7,募集方式
n0p7,2082338,产品
2082338,n9p8,运作模式
n9p8,2082338,产品
2082338,n0p9,投资性质
n0p9,2082338,产品
2082338,n0p10,募集币种
n0p10,2082338,产品
2082338,n2p11,风险等级编号
n2p11,2082338,产品
2082338,n2p12,风险等级
n2p12,2082338,产品
2082338,n18p13,募集起始日期
n18p13,2082338,产品
2082338,n18p13,募集结束日期
n18p13,2082338,产品
2082338,n11p13,产品起始日期
n11p13,2082338,产品
2082338,n17p16,产品终止日期
n17p16,2082338,产品
2082338,n0p17,产品状态
n0p17,2082338,产品
2082338,n17p18,实际天数（天）
n17p18,2082338,产品
2082338,n2p19,收益类型
n2p19,2082338,产品
2082338,n7p20,产品销售区域
n7p20,2082338,产品
2082338,n0p21,机构类别
n0p21,2082338,产品
2082338,n7p22,认购价格
n7p22,2082338,产品
2080980,n19p0,登记编码
n19p0,2080980,产品
2080980,n0p3,期限类型
n0p3,2080980,产品
2080980,n0p11,业绩比较基准
n0p11,2080980,产品
2080980,n10p5,发行机构
n10p5,2080980,产品
2080980,n10p6,发行机构代码
n10p6,2080980,产品
2080980,n0p7,募集方式
n0p7,2080980,产品
2080980,n0p8,运作模式
n0p8,2080980,产品
2080980,n0p9,投资性质
n0p9,2080980,产品
2080980,n0p10,募集币种
n0p10,2080980,产品
2080980,n0p11,风险等级编号
n0p11,2080980,产品
2080980,n0p12,风险等级
n0p12,2080980,产品
2080980,n18p13,募集起始日期
n18p13,2080980,产品
2080980,n18p13,募集结束日期
n18p13,2080980,产品
2080980,n11p13,产品起始日期
n11p13,2080980,产品
2080980,n19p16,产品终止日期
n19p16,2080980,产品
2080980,n0p17,产品状态
n0p17,2080980,产品
2080980,n2p18,实际天数（天）
n2p18,2080980,产品
2080980,n0p19,收益类型
n0p19,2080980,产品
2080980,n7p20,产品销售区域
n7p20,2080980,产品
2080980,n0p21,机构类别
n0p21,2080980,产品
2080980,n7p22,认购价格
n7p22,2080980,产品
2080968,n20p0,登记编码
n20p0,2080968,产品
2080968,n0p3,期限类型
n0p3,2080968,产品
2080968,n0p11,业绩比较基准
n0p11,2080968,产品
2080968,n10p5,发行机构
n10p5,2080968,产品
2080968,n10p6,发行机构代码
n10p6,2080968,产品
2080968,n0p7,募集方式
n0p7,2080968,产品
2080968,n0p8,运作模式
n0p8,2080968,产品
2080968,n0p9,投资性质
n0p9,2080968,产品
2080968,n0p10,募集币种
n0p10,2080968,产品
2080968,n2p11,风险等级编号
n2p11,2080968,产品
2080968,n2p12,风险等级
n2p12,2080968,产品
2080968,n18p13,募集起始日期
n18p13,2080968,产品
2080968,n18p13,募集结束日期
n18p13,2080968,产品
2080968,n11p13,产品起始日期
n11p13,2080968,产品
2080968,n19p16,产品终止日期
n19p16,2080968,产品
2080968,n0p17,产品状态
n0p17,2080968,产品
2080968,n2p18,实际天数（天）
n2p18,2080968,产品
2080968,n2p19,收益类型
n2p19,2080968,产品
2080968,n7p20,产品销售区域
n7p20,2080968,产品
2080968,n0p21,机构类别
n0p21,2080968,产品
2080968,n0p22,认购价格
n0p22,2080968,产品
2077725,n21p0,登记编码
n21p0,2077725,产品
2077725,n9p3,期限类型
n9p3,2077725,产品
2077725,n0p11,业绩比较基准
n0p11,2077725,产品
2077725,n21p5,发行机构
n21p5,2077725,产品
2077725,n21p6,发行机构代码
n21p6,2077725,产品
2077725,n0p7,募集方式
n0p7,2077725,产品
2077725,n0p8,运作模式
n0p8,2077725,产品
2077725,n0p9,投资性质
n0p9,2077725,产品
2077725,n0p10,募集币种
n0p10,2077725,产品
2077725,n2p11,风险等级编号
n2p11,2077725,产品
2077725,n2p12,风险等级
n2p12,2077725,产品
2077725,n18p13,募集起始日期
n18p13,2077725,产品
2077725,n18p13,募集结束日期
n18p13,2077725,产品
2077725,n11p15,产品起始日期
n11p15,2077725,产品
2077725,n21p16,产品终止日期
n21p16,2077725,产品
2077725,n0p17,产品状态
n0p17,2077725,产品
2077725,n21p18,实际天数（天）
n21p18,2077725,产品
2077725,n2p19,收益类型
n2p19,2077725,产品
2077725,n21p20,产品销售区域
n21p20,2077725,产品
2077725,n0p21,机构类别
n0p21,2077725,产品
2077725,n0p22,认购价格
n0p22,2077725,产品
2079696,n22p0,登记编码
n22p0,2079696,产品
2079696,n9p3,期限类型
n9p3,2079696,产品
2079696,n0p11,业绩比较基准
n0p11,2079696,产品
2079696,n22p5,发行机构
n22p5,2079696,产品
2079696,n22p6,发行机构代码
n22p6,2079696,产品
2079696,n0p7,募集方式
n0p7,2079696,产品
2079696,n0p8,运作模式
n0p8,2079696,产品
2079696,n0p9,投资性质
n0p9,2079696,产品
2079696,n0p10,募集币种
n0p10,2079696,产品
2079696,n2p11,风险等级编号
n2p11,2079696,产品
2079696,n2p12,风险等级
n2p12,2079696,产品
2079696,n22p13,募集起始日期
n22p13,2079696,产品
2079696,n22p13,募集结束日期
n22p13,2079696,产品
2079696,n10p13,产品起始日期
n10p13,2079696,产品
2079696,n22p16,产品终止日期
n22p16,2079696,产品
2079696,n0p17,产品状态
n0p17,2079696,产品
2079696,n10p18,实际天数（天）
n10p18,2079696,产品
2079696,n2p19,收益类型
n2p19,2079696,产品
2079696,n22p20,产品销售区域
n22p20,2079696,产品
2079696,n2p21,机构类别
n2p21,2079696,产品
2079696,n7p22,认购价格
n7p22,2079696,产品
2079691,n23p0,登记编码
n23p0,2079691,产品
2079691,n9p3,期限类型
n9p3,2079691,产品
2079691,n0p11,业绩比较基准
n0p11,2079691,产品
2079691,n22p5,发行机构
n22p5,2079691,产品
2079691,n22p6,发行机构代码
n22p6,2079691,产品
2079691,n0p7,募集方式
n0p7,2079691,产品
2079691,n0p8,运作模式
n0p8,2079691,产品
2079691,n0p9,投资性质
n0p9,2079691,产品
2079691,n0p10,募集币种
n0p10,2079691,产品
2079691,n2p11,风险等级编号
n2p11,2079691,产品
2079691,n2p12,风险等级
n2p12,2079691,产品
2079691,n22p13,募集起始日期
n22p13,2079691,产品
2079691,n22p13,募集结束日期
n22p13,2079691,产品
2079691,n11p13,产品起始日期
n11p13,2079691,产品
2079691,n23p16,产品终止日期
n23p16,2079691,产品
2079691,n0p17,产品状态
n0p17,2079691,产品
2079691,n23p18,实际天数（天）
n23p18,2079691,产品
2079691,n2p19,收益类型
n2p19,2079691,产品
2079691,n22p20,产品销售区域
n22p20,2079691,产品
2079691,n2p21,机构类别
n2p21,2079691,产品
2079691,n23p22,认购价格
n23p22,2079691,产品
2078554,n24p0,登记编码
n24p0,2078554,产品
2078554,n9p3,期限类型
n9p3,2078554,产品
2078554,n0p11,业绩比较基准
n0p11,2078554,产品
2078554,n24p5,发行机构
n24p5,2078554,产品
2078554,n24p6,发行机构代码
n24p6,2078554,产品
2078554,n0p7,募集方式
n0p7,2078554,产品
2078554,n0p8,运作模式
n0p8,2078554,产品
2078554,n0p9,投资性质
n0p9,2078554,产品
2078554,n0p10,募集币种
n0p10,2078554,产品
2078554,n2p11,风险等级编号
n2p11,2078554,产品
2078554,n2p12,风险等级
n2p12,2078554,产品
2078554,n22p13,募集起始日期
n22p13,2078554,产品
2078554,n22p13,募集结束日期
n22p13,2078554,产品
