property:ID,value,:LABEL
n85p16,2021/01/04,产品终止日期
n85p18,182,实际天数（天）
n86p0,C1092720000480,登记编码
n86p16,2020/08/13,产品终止日期
n86p18,38,实际天数（天）
n87p0,C1077220000135,登记编码
n87p16,2020/12/28,产品终止日期
n87p18,178,实际天数（天）
n88p0,C1131320000158,登记编码
n88p3,T+0产品,期限类型
n88p5,广东顺德农村商业银行股份有限公司,发行机构
n88p6,C11313,发行机构代码
n88p11,3,风险等级编号
n88p12,三级(中),风险等级
n88p16,2050/07/08,产品终止日期
n88p18,10957,实际天数（天）
n89p0,C1083520000252,登记编码
n89p16,2021/01/06,产品终止日期
n90p0,C1083520000254,登记编码
n91p0,C1083520000287,登记编码
n92p0,C1081020000354,登记编码
n92p18,138,实际天数（天）
n93p0,C1030120000803,登记编码
n93p5,交通银行股份有限公司,发行机构
n93p6,C10301,发行机构代码
n93p20,广东,产品销售区域
n94p0,C1210120000117,登记编码
n94p5,珠海农村商业银行股份有限公司,发行机构
n94p6,C12101,发行机构代码
n95p0,C1081320000085,登记编码
n95p5,丹东银行股份有限公司,发行机构
n95p6,C10813,发行机构代码
n95p13,2020/06/30,募集起始日期
n95p16,2021/07/07,产品终止日期
n95p20,辽宁,产品销售区域
n96p0,C1087120000157,登记编码
n96p5,九江银行股份有限公司,发行机构
n96p6,C10871,发行机构代码
n96p16,2021/07/06,产品终止日期
n96p20,"广东,安徽,江西",产品销售区域
n97p0,C1087120000155,登记编码
n97p18,184,实际天数（天）
n98p0,C1125620000140,登记编码
n98p16,2020/11/04,产品终止日期
n98p18,124,实际天数（天）
n99p0,C1125620000139,登记编码
n100p0,C1123720000107,登记编码
n100p5,浙江温州瓯海农村商业银行股份有限公司,发行机构
n100p6,C11237,发行机构代码
n101p0,C1122920000167,登记编码
n101p16,2020/10/08,产品终止日期
n102p0,C1125520000037,登记编码
n102p5,浙江兰溪农村商业银行股份有限公司,发行机构
n102p6,C11255,发行机构代码
n103p0,C1010420003746,登记编码
n104p0,C1010420003744,登记编码
n105p0,C1092020000700,登记编码
n105p18,364,实际天数（天）
n106p0,C1092020000691,登记编码
n106p18,35,实际天数（天）
n107p0,C1118120000089,登记编码
n107p5,南昌农村商业银行股份有限公司,发行机构
n107p6,C11181,发行机构代码
n107p20,江西,产品销售区域
n108p0,C1124720000046,登记编码
n108p18,104,实际天数（天）
n109p0,C1122320000049,登记编码
n109p5,昆明官渡农村合作银行,发行机构
n109p6,C11223,发行机构代码
n109p16,2021/02/26,产品终止日期
n109p18,234,实际天数（天）
n109p20,云南,产品销售区域
n110p0,C1122320000048,登记编码
n110p18,175,实际天数（天）
n111p0,C1122320000047,登记编码
n111p16,2020/10/30,产品终止日期
n111p18,115,实际天数（天）
n112p0,C1124020000069,登记编码
n113p0,C3210820000048,登记编码
n113p5,浙江临海农村商业银行股份有限公司,发行机构
n113p6,C32108,发行机构代码
n114p0,C1123320000073,登记编码
n114p5,宁波余姚农村商业银行股份有限公司,发行机构
n114p6,C11233,发行机构代码
n115p0,Z7000920000282,登记编码
n115p5,交银理财有限责任公司,发行机构
n115p6,Z70009,发行机构代码
n115p16,2099/12/31,产品终止日期
n115p18,29031,实际天数（天）
n115p20,"北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,大连,宁波,厦门,青岛,深圳,香港,澳门,台湾,其他国家或地区",产品销售区域
n116p0,C1126420000028,登记编码
n117p0,C1089920000109,登记编码
n118p0,C1209620000143,登记编码
n118p5,佛山农村商业银行股份有限公司,发行机构
n118p6,C12096,发行机构代码
n118p16,2020/11/16,产品终止日期
n119p0,C1081020000351,登记编码
n119p18,100,实际天数（天）
n120p0,C1030120000808,登记编码
n121p0,C1412720000083,登记编码
n121p5,江门农村商业银行股份有限公司,发行机构
n121p6,C14127,发行机构代码
n121p16,2020/12/08,产品终止日期
n122p0,C3130120000044,登记编码
n122p5,江苏紫金农村商业银行股份有限公司,发行机构
n122p6,C31301,发行机构代码
n122p18,106,实际天数（天）
n123p0,C1010520004765,登记编码
n123p5,中国建设银行股份有限公司,发行机构
n123p6,C10105,发行机构代码
n123p18,162,实际天数（天）
n123p20,上海,产品销售区域
n124p0,Z7000920000100,登记编码
n124p16,2022/07/06,产品终止日期
n124p18,729,实际天数（天）
n125p0,C1082919A000308,登记编码
n125p5,珠海华润银行股份有限公司,发行机构
n125p6,C10829,发行机构代码
n125p16,2020/12/30,产品终止日期
n125p20,"广东,深圳",产品销售区域
n126p0,C1211220A000600,登记编码
n126p5,渤海银行股份有限公司,发行机构
n126p6,C12112,发行机构代码
n126p13,2020/06/29,募集起始日期
n126p16,2021/06/30,产品终止日期
n126p20,天津,产品销售区域
n126p21,股份制银行,机构类别
n126p22,10000000.0,认购价格
n127p0,C1211220A000599,登记编码
n127p16,2021/06/29,产品终止日期
n128p0,Z7001420A000017,登记编码
n128p5,光大理财有限责任公司,发行机构
n128p6,Z70014,发行机构代码
n128p16,2023/03/10,产品终止日期
